Date,Open,High,Low,Close,Volume,Symbol,SMA_20,SMA_50,EMA_20,RSI_14,OBV,ATR_14,Daily_Return
2023-07-03,32.8700176594415,33.21302468720255,32.47800642328926,32.94841766357422,15753000,INTC,,,32.94841766357422,,15753000,,
2023-07-05,32.644612452061054,32.66421338768522,31.85079138251512,31.8605899810791,37664700,INTC,,,32.84481502714611,,-21911700,,-0.0330160827024405
2023-07-06,31.262773722505944,31.399978390882627,30.75316065538785,31.331375122070312,41693600,INTC,,,32.70067789332937,,-63605300,,-0.01661032828717457
2023-07-07,31.36077891206632,31.76258874233732,31.18437423160625,31.213775634765625,28345700,INTC,,,32.55906815441854,,-91951000,,-0.0037534097002288602
2023-07-10,31.2333728235946,32.174197050108674,31.13537002740073,32.085994720458984,36305700,INTC,,,32.51401354166049,,-55645300,,0.027943402166378473
2023-07-11,32.164392623912164,32.693606567416026,31.850785191871832,32.634803771972656,28148800,INTC,,,32.52551737311879,,-27496500,,0.017104317827607574
2023-07-12,33.01701582353505,33.399228423535064,32.399603234257164,33.30122375488281,37762200,INTC,,,32.59939417138203,,10265700,,0.020420529799002107
2023-07-13,33.4678335894714,33.61483500125244,32.94841813338885,33.19342422485352,32745800,INTC,,,32.65596846218884,,-22480100,,-0.003237104162380322
2023-07-14,33.10521309299597,33.193415412045496,32.340795486896894,32.48780059814453,30426200,INTC,,,32.639952475137,,-52906300,,-0.021257934159762182
2023-07-17,32.49760504848202,33.9088386690032,32.40940271354346,33.683433532714844,34111200,INTC,,,32.739331623477746,,-18795100,,0.03680252010161
2023-07-18,33.595234049980164,34.006846227470966,33.1542260763421,33.81084060668945,29679500,INTC,,,32.84138009806934,,10884400,,0.003782484759187854
2023-07-19,33.71283028057749,34.14403953545988,33.644228893175644,33.771629333496094,26486700,INTC,,,32.92997526334808,,-15602300,,-0.0011597248837877938
2023-07-20,33.026824780635806,33.52663560622542,32.56621209186941,32.70341491699219,37878000,INTC,,,32.90839808750466,,-53480300,,-0.03163052649770759
2023-07-21,33.05621945219162,33.56583254084737,32.752410570926834,33.34042739868164,79724100,INTC,,,32.94954373618818,52.54452919908107,26243800,0.9170220849356918,0.019478469857240333
2023-07-24,33.164021822645815,33.77163583016144,32.88961622025087,32.95821762084961,25225800,INTC,,,32.95036982044165,50.060604287735664,1018000,0.9275221810783548,-0.01146385357516877
2023-07-25,33.026819580894006,33.654034533276025,32.732813039276934,33.418827056884766,31771100,INTC,,,32.994984795341,60.4467727551839,32789100,0.9149218391454972,0.01397555660727745
2023-07-26,33.04642240194962,33.84023973578182,33.02682146625675,33.67363739013672,32643200,INTC,,,33.05961837579773,66.30289326504993,65432300,0.8939210494193414,0.007624753939395212
2023-07-27,34.12444357049192,34.330247762644376,33.42862726074078,33.85983657836914,58890800,INTC,,,33.13582963318549,68.24321516583689,124323100,0.9170214773602358,0.005529524062849234
2023-07-28,36.015887959560686,36.25109540341828,34.80065635353817,36.09429168701172,90863000,INTC,,,33.41758792402608,73.26505822956784,215186100,1.0136237489560356,0.06599131402985048
2023-07-31,36.13349081102357,36.44709825250526,34.957461036219414,35.05546569824219,55630700,INTC,33.171371364593504,,33.573576283475234,63.293866941079465,159555400,1.0598248804375825,-0.0287808941584895
2023-08-01,35.104466502664245,35.300472090127435,34.575252538062315,35.08486557006836,24702200,INTC,33.27819375991821,,33.7175085964841,60.53239181666194,184257600,1.0402244777795266,0.0008386672731506284
2023-08-02,34.447857871766594,34.47725740635223,33.59523398382054,33.70303726196289,39052000,INTC,33.370316123962404,,33.71613037414875,52.61569668632469,145205600,1.0990255290926858,-0.03938531003762302
2023-08-03,33.605030748039106,34.3302465631894,33.44822702542588,34.17344284057617,24817900,INTC,33.51241950988769,,33.75968394237993,58.8659947295324,170023500,1.1011248719360351,0.01395736458281105
2023-08-04,33.91280775321122,34.975043685807705,33.91280775321122,34.56195068359375,26664300,INTC,33.6798282623291,,33.83609029868601,55.049473429409375,196687800,1.069896298874374,0.011368706537120632
2023-08-07,34.82750622354184,34.965202626684565,34.17836335733644,34.65046691894531,22486900,INTC,33.808051872253415,,33.91364997680594,54.84761175233601,219174700,1.0651976644614638,0.0025610891052390006
2023-08-08,34.09967917404251,34.52260600489445,33.30300601746458,34.44392395019531,34753600,INTC,33.89850788116455,,33.96415225998588,53.80793972220566,184421100,1.1257441115469276,-0.005960755716023836
2023-08-09,34.4242522169312,34.52260572248699,33.66691821792523,33.716094970703125,28720200,INTC,33.919251441955566,,33.94052775624467,55.965959145221085,155700900,1.1007634160422906,-0.02113083807015137
2023-08-10,34.129187595095544,34.512771515517244,33.91280538277738,34.10951614379883,30957300,INTC,33.96505603790283,,33.95662188839268,54.664784821841735,186658200,1.0960676246822147,0.011668645892638496
2023-08-11,33.893132309769804,34.375073463615266,33.794778809937924,34.31605911254883,28752000,INTC,34.05646896362305,,33.990854004978985,58.41509255537956,215410200,1.074515842094127,0.006055288731720898
2023-08-14,34.09967948688556,35.1225724709791,33.902972472360176,35.09306716918945,36896100,INTC,34.126950645446776,,34.09582668728474,59.98438503802734,252306300,1.095828592424115,0.022642694899557503
2023-08-15,34.82750763483381,35.04388984965245,34.17836474232362,34.198036193847656,27420300,INTC,34.14631042480469,,34.10556092600502,52.90541323114043,224886000,1.103063175091312,-0.025504495546847084
2023-08-16,33.952147893919765,34.06033899883146,32.90958349888829,32.97843170166016,35757300,INTC,34.10665054321289,,33.99821528559122,45.61835347715623,189128700,1.1306940460238672,-0.035662997877255465
